Pattern,URL,In 90%,Notes
| |,http://localhost:5173/models/simple_mnist_v1/4-Sl1/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,No,
| |,http://localhost:5173/models/simple_mnist_v1/4-oVe/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,
| |,http://localhost:5173/models/simple_mnist_v1/4-otm/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,
| |,http://localhost:5173/models/simple_mnist_v1/4-kh0/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,No,
| |,http://localhost:5173/models/simple_mnist_v1/4-ejO/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,
| |,http://localhost:5173/models/simple_mnist_v1/4-ejO/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,
| |,http://localhost:5173/models/simple_mnist_v1/4-GsX/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,Very thin but present
| |,http://localhost:5173/models/simple_mnist_v1/4-923/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes
| |,http://localhost:5173/models/simple_mnist_v1/4-FK8/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes
| |,"http://localhost:5173/models/simple_mnist_v1/4-XNX/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output

",Yes
| |,http://localhost:5173/models/simple_mnist_v1/4-8i2/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes
| |,http://localhost:5173/models/simple_mnist_v1/4-Kkb/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,Thin
| |,http://localhost:5173/models/simple_mnist_v1/4-FOL/v1/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,"Thin and short, its almost spurious"
| |,http://localhost:5173/models/simple_mnist_v1/4-MkX/auto-work/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes
spurious,http://localhost:5173/models/simple_mnist_v1/4-fOU/auto-work/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,No,"The activation is very low, the alignment is not perfect, but spatially this is | |"
/,http://localhost:5173/models/simple_mnist_v1/4-EGd/auto-work/ui-graph/?type=Conv2dOutputCoordinate&layer_name=layers.2&channel=12&y=2&x=4&layer_type=conv2d&coordinate_type=output,Yes,"although it finds a diagonal, it is also like between the two stems
"
